ID,Name,Gender,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
121622,Hedwig Traindl,F,17,NA,NA,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
35082,"Gertrude ""Gerti"" Fesl",F,20,NA,NA,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
56581,Ida Kadlec,F,22,NA,NA,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
131017,Gertrude Winnige-Barosch,F,23,NA,NA,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
42941,Hildegard Grill (Leeb-),F,24,NA,NA,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
41190,"Gertrude ""Trude"" Gollner-Kolar",F,26,NA,NA,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
42830,Gertrude Gries,F,27,NA,NA,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
107488,Edeltraud Schramm (-Grossfurthner),F,28,NA,NA,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
29215,Ivanka Peneva Dolzheva,F,16,162,60,Bulgaria,BUL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
113700,Saltirka Parvanova Spasova-Tarpova,F,18,157,51,Bulgaria,BUL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
133280,Yordanka Petrova Yovkova,F,19,NA,NA,Bulgaria,BUL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
42918,Rayna Ivanova Grigorova,F,20,163,55,Bulgaria,BUL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
114278,Tsvetanka Dobreva Stancheva,F,22,NA,NA,Bulgaria,BUL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
114279,Vasilka Peneva Stancheva,F,22,NA,NA,Bulgaria,BUL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
97054,Penka Mircheva Prisadashka,F,23,NA,NA,Bulgaria,BUL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
4309,Stoyanka Dobreva Angelova,F,24,NA,NA,Bulgaria,BUL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
98032,Jana Rabasov (-Bartoov),F,18,NA,NA,Czechoslovakia,TCH,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
99680,Alena Reichov (-Zmostn),F,18,NA,NA,Czechoslovakia,TCH,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
76515,Matylda Matoukov-nov (-Rikov),F,19,158,53,Czechoslovakia,TCH,1952 Summer,1952,Summer,Helsinki,Gymnastics,Beam,NA
